Property,Address,Area,Build Year,Price Range,Units,Developer,Marketing/Leasing Contact,Title,Email,Executive Contact,Executive Title,Executive Email,Outreach Stage,Has Address,Has Build Year,Has Price Range,Has Contact Email
The Cove,"43-12 Hunter St, Long Island City, NY 11101",,2021,"$3,900-$4,600",123,Rockrose Development,Justin Elghanayan,President,justin.elghanayan@rockrose.com,Alyssa Brennan; Anthony Grimaldi; Cassandra Andino; Henry Elghanayan; Linc LIC Leasing Office,SVP Residential Leasing and Marketing,alyssa.brennan@rockrose.com; anthony.grimaldi@rockrose.com; cassandra.andino@rockrose.com; henry.elghanayan@rockrose.com,,Yes,Yes,Yes,Yes
The Danby,"170 West 225th Street, New York, NY 10463",Marble Hill,2025,"$3,220-$4,750",115,Timber Equities,Joseph Seidenfeld,Principal,joseph@timberequitiesllc.com,,,,,Yes,Yes,Yes,Yes
The Dupont,"16 Dupont Street, Brooklyn, NY 11222",Greenpoint,2024,"$3,770-$15,500",381,Rockefeller Group / Park Tower Group; Rockefeller Group; Park Tower Group,Amy Ankeles,"VP, Head of Marketing",aankeles@rockefellergroup.com,Isaac Henderson,"Managing Director, Northeast Development",,,Yes,Yes,Yes,Yes
The Easton,"205 East 92nd Street, New York, NY 10128",,2016,"$5,060-$21,310",183,Related Companies,Jill Singer Graeber,Marketing Director,jsgraeber@related.com,,,,,Yes,Yes,Yes,Yes
The Ellery,"312 West 43rd Street, New York, NY 10036",,2024,"$5,600-$11,000",330,Taconic Partners,Michael Adelstein,"VP, Commercial Asset Management",madelstein@tacon.com,Charles Bendit,Co-CEO,cbendit@taconicpartners.com,,Yes,Yes,Yes,Yes
The Elliot,"151 South Elliott Place (a/k/a 151 South Elliott), Brooklyn, NY 11217",Fort Greene,2025,"$3,350-$7,425",80,Watermark Capital; Watermark Capital Group,Meilech Eisenberg,Broker,meilech@wmcap.com,Wolfe Landau,Founding Partner,wlandau@wmcap.com,,Yes,Yes,Yes,Yes
The Everly,"180 Ashland Place, Brooklyn, NY 11217",Fort Greene,2025,"$3,465-$7,060",569,Rockrose Development,Justin Elghanayan,President,justin.elghanayan@rockrose.com,Alyssa Brennan; Anthony Grimaldi; Cassandra Andino; Henry Elghanayan; Linc LIC Leasing Office,SVP Residential Leasing and Marketing,alyssa.brennan@rockrose.com; anthony.grimaldi@rockrose.com; cassandra.andino@rockrose.com; henry.elghanayan@rockrose.com,,Yes,Yes,Yes,Yes
The Fairfax,"201 East 69th Street, New York, NY 10021",,1927,"$4,000-$12,000",313,TF Cornerstone,Nenad Jerzabek,Leasing Manager,nenad.jerzabek@tfc.com,Frederick Elghanayan; Jake Elghanayan; Jared Brown; Jeremy Shell; Sofia Estevez; Steve Gonzalez; Steve N. Gonzalez,Chairman,felghanayan@tfc.com; jelghanayan@tfc.com; jared.brown@tfc.com; jshell@tfc.com; sestevez@tfc.com; sgonzalez@tfc.com; sgonzalez@tfc.com,,Yes,Yes,Yes,Yes
The Forge,44-28 Purves St,LIC,2017,"$3,027-$6,177",272,Brause Realty & Gotham,Melissa Brause Rackoff,"Director of Leasing, Manhattan Properties",mab@brauserealty.com,David L. Picket; General Management; Gotham Organization HQ; Michelle Wells; The Forge Leasing Office; Wiam Riyad,Principal,dpicket@gothamorg.com; info@gothamorg.com; mwells@gothamorg.com; wriyad@gothamorg.com,,Yes,Yes,Yes,Yes
The Franklin,"280 West 132nd Street, New York, NY 10027",Central Harlem,2025,"$3,750-$5,695",52,Timber Equities,Joseph Seidenfeld,Principal,joseph@timberequitiesllc.com,,,,,Yes,Yes,Yes,Yes
The Hendrix,"180 Morgan Street, Jersey City, NJ 07302",,2022,"$3,300-$3,900",482,SILVERMAN,Joseph Ratner; Patrick James Jr.,Leasing; Dir. of Property Management,joeratner@silvermangroup.net; patrick@silvermanbuilding.com,Eric Silverman,Principal,eric@silvermanbuilding.com,,Yes,Yes,Yes,Yes
The Italic,"26-38 Jackson Avenue, Long Island City, NY 11101",,2025,"$3,995-$6,790",363,Fetner Properties / Lions Group / BLDG,Sophie Scott,VP of Leasing and Marketing,sscott@fetner.com,,,,,Yes,Yes,Yes,Yes
The Journal,"36 Journal Square Plaza, Jersey City, NJ 07306",Journal Square,2025,"$3,350-$6,295",1723,Kushner Real Estate Group,Ira Bloom; Phone,Director of Commercial Leasing,ibloom@kushner.com,,,,,Yes,Yes,Yes,Yes
The Lex,"227 Lexington Avenue, New York, NY 10016",,2020,"$3,200-$10,000",37,Lions Group,Aaron Shirian,Managing Director,aaron.shirian@lionsgroupnyc.com,,,,,Yes,Yes,Yes,Yes
The Lyric,"255 West 94th Street, New York, NY 10025",,2001,"$4,800-$10,400",285,Related Companies,Jill Singer Graeber,Marketing Director,jsgraeber@related.com,,,,,Yes,Yes,Yes,Yes
The Max,"606 West 57th Street, New York, NY 10019",,2018,"$3,725-$7,205",1028,TF Cornerstone,Nenad Jerzabek,Leasing Manager,nenad.jerzabek@tfc.com,Frederick Elghanayan; Jake Elghanayan; Jared Brown; Jeremy Shell; Sofia Estevez; Steve Gonzalez; Steve N. Gonzalez,Chairman,felghanayan@tfc.com; jelghanayan@tfc.com; jared.brown@tfc.com; jshell@tfc.com; sestevez@tfc.com; sgonzalez@tfc.com; sgonzalez@tfc.com,,Yes,Yes,Yes,Yes
The One,"110 1st St, Jersey City, NJ 07302",,,"$3,325-$4,295",439,Kushner,,,,,,,Lost,Yes,No,Yes,No
The One NJ,"110 1st St, Jersey City, NJ 07302",,2015,"$3,300-$4,300",439,Kushner / BLDG / Ares Mgmt,,,,,,,,Yes,Yes,Yes,No
The Orchard,"42-06 Orchard Street, Long Island City, NY 11101",,2026,"$3,830-$12,488",824,BLDG Management,Mickey Napolitano,SVP / Dir. of Residential RE,mickey@bldg.com,Lloyd Goldman,Principal,info@bfreo.com,,Yes,Yes,Yes,Yes
The Park Imperial,"230 West 56th Street, New York, NY 10019",,2002,"$18,500",108,Related Companies,Jill Singer Graeber,Marketing Director,jsgraeber@related.com,,,,,Yes,Yes,Yes,Yes
The Pearson Court Square,"45-50 Pearson Street, Long Island City, NY 11101",LIC,2014,"$3,089-$5,001",197,LMXD,Bob Faith,"Founder, Chairman & CEO",bob@greystar.com,General Leasing; Lisa Gomez; Ron Moelis; Sarah Byrne; Scott Hall,Director of Communications + Marketing,leasing@ccmanagers.com; lgomez@lmdevpartners.com; rmoelis@lmdevpartners.com; sbyrne@lmdevpartners.com; shall@lmdevpartners.com,,Yes,Yes,Yes,Yes
The Rocklyn,"20 Rockwell Place, Brooklyn, NY 11201",Fort Greene,2025,"$3,253-$8,595",1098,Rabsky Group,Zelig Weiss,Director of Development,zelig@rabskygroup.com,,,,,Yes,Yes,Yes,Yes
The Soho Abbey,"284 Mott Street, New York, NY 10012",,1991,"$4,500-$6,500",162,Abington Properties,Sal Costa,Director of Leasing,sal@abingtonholding.net,,,,,Yes,Yes,Yes,Yes
The Sophia,"5055 Broadway, New York, NY 10034",Inwood,2025,"$3,220-$5,475",60,Timber Equities,Joseph Seidenfeld,Principal,joseph@timberequitiesllc.com,,,,,Yes,Yes,Yes,Yes
The Tate,"535 West 23rd Street, New York, NY 10011",,2002,"$4,500-$10,000",313,Related Companies,Jill Singer Graeber,Marketing Director,jsgraeber@related.com,,,,,Yes,Yes,Yes,Yes
The Ventura,"240 East 86th Street, New York, NY 10028",,1997,"$3,900-$10,000",246,Related Companies,Jill Singer Graeber,Marketing Director,jsgraeber@related.com,,,,,Yes,Yes,Yes,Yes
The Vista,"44-15 Purves Street, Long Island City, NY 11101",,2014,"$3,900-$4,000",48,Emmy Homes / Lions Group NY,JP Porretto,Director of Operations (Lions Group),info@lionsgrp.com,John Garthchester,Owner,info@garthchester.com,,Yes,Yes,Yes,Yes
The Welz,"159 Boerum Street, Brooklyn, NY 11206",Williamsburg,2025,$4,162,SPG Boerum LLC; SPG Boerum LLC (Slate Property Group),Daniel Hochberg,"MD, Property Management",info@slatepg.com,,,,,Yes,Yes,Yes,Yes
The West Coast,"95 Horatio Street, New York, NY 10014",,1930,"$5,000-$16,000",317,TF Cornerstone,Nenad Jerzabek,Leasing Manager,nenad.jerzabek@tfc.com,Frederick Elghanayan; Jake Elghanayan; Jared Brown; Jeremy Shell; Sofia Estevez; Steve Gonzalez; Steve N. Gonzalez,Chairman,felghanayan@tfc.com; jelghanayan@tfc.com; jared.brown@tfc.com; jshell@tfc.com; sestevez@tfc.com; sgonzalez@tfc.com; sgonzalez@tfc.com,,Yes,Yes,Yes,Yes
The Westminster,"180 West 20th Street, New York, NY 10011",,2000,"$5,460-$12,340",254,Related Companies,Jill Singer Graeber,Marketing Director,jsgraeber@related.com,,,,,Yes,Yes,Yes,Yes
The Westport,"500 West 56th Street, New York, NY 10019",,2002,"$4,200-$8,290",371,Related Companies,Jill Singer Graeber,Marketing Director,jsgraeber@related.com,,,,,Yes,Yes,Yes,Yes
The Yellowstone Forest Hills,"69-65 Yellowstone Boulevard, Forest Hills, NY 11375",,2023,"$3,000-$4,900",166,Slate Property Group,,,,,,,,Yes,Yes,Yes,No
Three Williamsburg Wharf,"482 Kent Avenue, Brooklyn, NY 11249",Williamsburg,2025,"$2,600-$15,500",249,Naftali Group,Danielle Naftali,EVP of Marketing + Design,dnaftali@naftaligroup.com,Danielle Naftali,"Executive Vice President of Marketing, Sales & Design",,,Yes,Yes,Yes,Yes
Tower 28,"42-12 28th Street, Long Island City, NY 11101",LIC,2017,"$3,963-$7,530",451,Heatherwood Communities,Nicole Massa,Director of Leasing,nmassa@heatherwood.com,Douglas Partrick; General Inquiries; Jodi Brennan; Rickey Piazza; Tara Bernhardt,Principal,dpartrick@heatherwood.com; info@heatherwood.com; jbrennan@heatherwood.com; rpiazza@heatherwood.com; tbernhardt@heatherwood.com,,Yes,Yes,Yes,Yes
Tribeca Abbey,"121 Reade Street, New York, NY 10013",,1997,"$4,150-$8,995",121,Abington Properties,Sal Costa,Director of Leasing,sal@abingtonholding.net,,,,,Yes,Yes,Yes,Yes
Tribeca Park,"400 Chambers Street, New York, NY 10282",,1999,"$5,000-$9,000",396,Related Companies,Jill Singer Graeber,Marketing Director,jsgraeber@related.com,,,,,Yes,Yes,Yes,Yes
TRIO,"27-19 Thomson Avenue, Long Island City, NY 11101",,2022,"$2,900-$6,700",34,ZD Jasper Realty,,,,Andover Property Management Leasing; General Inquiry; General Leasing; Hong Lihua; Jasper Wu; Susan Wu,General; Chief Operations Officer,info@zdjasper.com; leasing@andoverpm.com; lihua@andoverpm.com; jasper@zdjasper.com; west37@zdjasper.com,,Yes,Yes,Yes,Yes
Tryon North,"4778 Broadway, New York, NY 10034",Inwood,2024,"$3,125-$4,700",88,MADDD Equities,Jorge Madruga,CEO / Founder,info@madddequities.com,,,,,Yes,Yes,Yes,Yes
Two Williamsburg Wharf,"478 Kent Avenue, Brooklyn, NY 11249",Williamsburg,2025,"$2,300-$8,850",86,Naftali Group,Danielle Naftali,EVP of Marketing + Design,dnaftali@naftaligroup.com,Danielle Naftali,"Executive Vice President of Marketing, Sales & Design",,,Yes,Yes,Yes,Yes
vandar water,"543 W 122nd St, New York, NY 10027",,2019,"$6,000-$8,000",183,Savanna,Brian Reiver,Chief Real Estate Officer,breiver@savannafund.com,,,,,Yes,Yes,Yes,Yes
Vandewater,"543 West 122nd Street, New York, NY 10027",,,"$6,300-$6,500",183,Savanna,Brian Reiver,Chief Real Estate Officer,breiver@savannafund.com,,,,,Yes,No,Yes,Yes
Via,"625 W 57th St, New York, NY 10019",,2016,"$4,100-$6,692",709,The Durst Organization,,,,Corporate Phone; Dan Mogolesko; Emmanuelle Slossberg; Joy Habian; Sven Leasing Office; Sven Leasing Team,"EVP, Director of Leasing",dmogolesko@durst.org; eslossberg@durst.org; jhabian@durst.org; svenleasing@durst.org,,Yes,Yes,Yes,Yes
Vida 52,"43-15 52nd Street, Woodside, NY 11377",,2023,"$2,700-$4,300",87,ZD Jasper Realty,,,,Andover Property Management Leasing; General Inquiry; General Leasing; Hong Lihua; Jasper Wu; Susan Wu,General; Chief Operations Officer,info@zdjasper.com; leasing@andoverpm.com; lihua@andoverpm.com; jasper@zdjasper.com; west37@zdjasper.com,,Yes,Yes,Yes,Yes
Waterline Square,"400 W 61st St, New York, NY 10023 (primary; complex at 400 W 61st St, 645 W 59th St, 675 W 59th St, New York, NY 10023)",,2020,"$7,700-$26,500",643,GID Development Group,Christi Samuelian,"SVP, Sales and Marketing",christi.samuelian@gid.com,John F. Gagnier,President,jgagnier@gid.com,,Yes,Yes,Yes,Yes
West End Towers,"55-75 West End Avenue, New York, NY 10023",,1994,"$3,600-$7,500",1000,The Brodsky Organization,Alexander Brodsky,Principal,abrodsky@brodskyorg.com,Dean Amro; Joe Porritt; Michelle Frucht; Rick Mason; Thomas Brodsky,"Director, Leasing and Marketing",damro@brodskyorg.com; jporritt@brodskyorg.com; mfrucht@brodskyorg.com; rmason@brodskyorg.com; tbrodsky@brodskyorg.com,,Yes,Yes,Yes,Yes
West Side Square (coming soon),"1075 West Side Ave, Jersey City, NJ 07306",,,,834,Lanterra / Westdale / Lantree / Altree,Marisa DeBrincat,Marketing Contact,mdebrincat@lanterradev.com,,,,,Yes,No,No,Yes
